Transaction_ID,Date,Store_ID,Store_Name,City,Category,Product_Name,Unit_Price,Quantity,Discount_Percent,Gross_Sales,Discount_Amount,Net_Sales,Payment_Method,Customer_Segment,Return_Flag
TXN00057,2024-02-23,S004,Mumbai Metro Store,Mumbai,Home Appliances,Microwave,6822.2,7.0,10.0,47755.4,4775.54,42979.86,Debit Card,Loyalty Member,No
TXN00058,2024-02-19,S004,Mumbai Metro Store,Mumbai,Electronics,Smart Watch,5885.74,6.0,5.0,35314.44,1765.72,33548.72,UPI,Loyalty Member,No
TXN00059,2024-04-06,S004,Mumbai Metro Store,Mumbai,Electronics,Laptop,47234.3,1.0,20.0,47234.3,9446.86,37787.44,Credit Card,Walk-in,No
TXN00060,2024-10-29,S002,Banjara Hills Mart,Hyderabad,Grocery,Pulses,147.77,1.0,20.0,147.77,29.55,118.22,UPI,Corporate,No
TXN00061,2024-03-03,S002,Banjara Hills Mart,Hyderabad,Stationery,Stapler,150.48,7.0,20.0,1053.36,210.67,842.69,Net Banking,Corporate,No
TXN00062,2024-04-15,S003,Chennai Express,Chennai,Clothing,Formal Shirt,872.04,7.0,0.0,6104.28,0.0,6104.28,Net Banking,Corporate,No
TXN00063,2024-11-13,S002,Banjara Hills Mart,Hyderabad,Stationery,Stapler,154.67,7.0,20.0,1082.69,216.54,866.15,Debit Card,Walk-in,No
TXN00064,2024-06-05,S004,Mumbai Metro Store,Mumbai,Electronics,Earphones,1452.81,4.0,10.0,5811.24,581.12,5230.12,Credit Card,Loyalty Member,No
TXN00065,2024-10-07,S005,Pune Retail Hub,Pune,Home Appliances,Iron Box,896.33,3.0,10.0,2688.99,268.9,2420.09,Debit Card,Online,No
TXN00066,2024-02-20,S002,Banjara Hills Mart,Hyderabad,Stationery,Notebook Set,202.93,8.0,5.0,1623.44,81.17,1542.27,Net Banking,Corporate,No
TXN00067,2024-11-23,S004,Mumbai Metro Store,Mumbai,Home Appliances,Microwave,6686.17,1.0,20.0,6686.17,1337.23,5348.94,Net Banking,Walk-in,No
TXN00068,2024-05-10,S005,Pune Retail Hub,Pune,Clothing,Saree,2536.07,2.0,15.0,5072.14,760.82,4311.32,Debit Card,Walk-in,Yes
TXN00069,2024-07-06,S004,Mumbai Metro Store,Mumbai,Stationery,Pen Box,100.26,2.0,5.0,200.52,10.03,190.49,Credit Card,Loyalty Member,No
TXN00070,2024-06-01,S001,Hyderabad Central,Hyderabad,Clothing,Jacket,1930.75,5.0,15.0,9653.75,1448.06,8205.69,UPI,Loyalty Member,No
TXN00071,2024-06-01,S002,Banjara Hills Mart,Hyderabad,Grocery,Flour (10kg),291.15,4.0,10.0,1164.6,116.46,1048.14,Net Banking,Online,No
TXN00072,2024-02-10,S002,Banjara Hills Mart,Hyderabad,Clothing,Formal Shirt,895.79,8.0,20.0,7166.32,1433.26,5733.06,UPI,Online,No
TXN00073,2024-10-04,S001,Hyderabad Central,Hyderabad,Stationery,Pen Box,95.79,3.0,10.0,287.37,28.74,258.63,Credit Card,Corporate,No
TXN00074,2024-11-06,S002,Banjara Hills Mart,Hyderabad,Stationery,Calculator,384.76,3.0,5.0,1154.28,57.71,1096.57,Cash,Corporate,No
TXN00075,2024-04-19,S001,Hyderabad Central,Hyderabad,Home Appliances,Mixer Grinder,2669.41,4.0,20.0,10677.64,2135.53,8542.11,Net Banking,Online,No
TXN00076,2024-01-26,S003,Chennai Express,Chennai,Clothing,Saree,2485.74,2.0,0.0,4971.48,0.0,4971.48,Debit Card,Loyalty Member,No
TXN00077,2024-03-11,S003,Chennai Express,Chennai,Electronics,Mobile Phone,10483.96,1.0,15.0,10483.96,1572.59,8911.37,Debit Card,Loyalty Member,No
TXN00078,2024-09-21,S005,Pune Retail Hub,Pune,Home Appliances,Microwave,6589.61,5.0,20.0,32948.05,6589.61,26358.44,Cash,Walk-in,No
TXN00079,2024-04-06,S005,Pune Retail Hub,Pune,Electronics,Mobile Phone,9871.68,2.0,10.0,19743.36,1974.34,17769.02,Cash,Corporate,No
TXN00080,2024-11-08,S002,Banjara Hills Mart,Hyderabad,Stationery,Stapler,144.2,6.0,0.0,865.2,0.0,865.2,Debit Card,Walk-in,Yes
TXN00081,2024-01-24,S001,Hyderabad Central,Hyderabad,Grocery,Cooking Oil,186.38,6.0,5.0,1118.28,55.91,1062.37,Cash,Walk-in,No
TXN00082,2024-12-22,S004,Mumbai Metro Store,Mumbai,Stationery,File Folder,81.97,6.0,5.0,491.82,24.59,467.23,UPI,Corporate,No
TXN00083,2024-01-29,S001,Hyderabad Central,Hyderabad,Clothing,Saree,2487.21,5.0,5.0,12436.05,621.8,11814.25,Debit Card,Online,No
TXN00084,2024-04-27,S004,Mumbai Metro Store,Mumbai,Clothing,T-Shirt,603.25,5.0,15.0,3016.25,452.44,2563.81,Debit Card,Corporate,No
TXN00085,2024-08-03,S003,Chennai Express,Chennai,Grocery,Spices Pack,95.32,6.0,20.0,571.92,114.38,457.54,Debit Card,Online,Yes
TXN00086,2024-08-13,S005,Pune Retail Hub,Pune,Stationery,File Folder,76.27,4.0,20.0,305.08,61.02,244.06,Debit Card,Online,No
TXN00087,2024-08-10,S001,Hyderabad Central,Hyderabad,Clothing,Jeans,1328.13,2.0,20.0,2656.26,531.25,2125.01,UPI,Corporate,No
TXN00088,2024-07-29,S001,Hyderabad Central,Hyderabad,Stationery,Pen Box,98.62,5.0,0.0,493.1,0.0,493.1,Credit Card,Loyalty Member,No
TXN00089,2024-11-22,S003,Chennai Express,Chennai,Clothing,Jacket,1941.99,4.0,10.0,7767.96,776.8,6991.16,UPI,Corporate,No
TXN00090,2024-03-09,S005,Pune Retail Hub,Pune,Grocery,Rice (5kg),354.11,8.0,10.0,2832.88,283.29,2549.59,Credit Card,Corporate,No
TXN00091,2024-10-09,S004,Mumbai Metro Store,Mumbai,Electronics,Smart Watch,6084.93,6.0,5.0,36509.58,1825.48,34684.1,Cash,Loyalty Member,No
TXN00092,2024-09-15,S003,Chennai Express,Chennai,Electronics,Laptop,44424.55,8.0,0.0,355396.4,0.0,355396.4,UPI,Loyalty Member,No
TXN00093,2024-05-01,S004,Mumbai Metro Store,Mumbai,Clothing,Jeans,1234.94,2.0,10.0,2469.88,246.99,2222.89,Debit Card,Online,Yes
TXN00094,2024-07-06,S003,Chennai Express,Chennai,Home Appliances,Iron Box,924.57,1.0,20.0,924.57,184.91,739.66,Debit Card,Walk-in,No
TXN00095,2024-08-02,S003,Chennai Express,Chennai,Grocery,Cooking Oil,193.58,4.0,20.0,774.32,154.86,619.46,Credit Card,Loyalty Member,No
TXN00096,2024-05-06,S003,Chennai Express,Chennai,Electronics,Tablet,18797.83,3.0,10.0,56393.49,5639.35,50754.14,UPI,Loyalty Member,No
TXN00097,2024-05-25,S005,Pune Retail Hub,Pune,Electronics,Tablet,19278.32,2.0,15.0,38556.64,5783.5,32773.14,Cash,Online,No
TXN00098,2024-08-05,S001,Hyderabad Central,Hyderabad,Electronics,Smart Watch,6054.27,8.0,10.0,48434.16,4843.42,43590.74,UPI,Online,No
TXN00099,2024-11-24,S004,Mumbai Metro Store,Mumbai,Home Appliances,Iron Box,876.8,7.0,5.0,6137.6,306.88,5830.72,Net Banking,Loyalty Member,No
TXN00100,2024-03-02,S001,Hyderabad Central,Hyderabad,Clothing,T-Shirt,611.63,8.0,10.0,4893.04,489.3,4403.74,Credit Card,Online,Yes
TXN00101,2024-07-27,S002,Banjara Hills Mart,Hyderabad,Home Appliances,Microwave,6290.9,7.0,5.0,44036.3,2201.82,41834.48,Credit Card,Loyalty Member,Yes
TXN00102,2024-12-15,S003,Chennai Express,Chennai,Clothing,T-Shirt,577.03,8.0,5.0,4616.24,230.81,4385.43,Net Banking,Loyalty Member,No
TXN00103,2024-10-21,S001,Hyderabad Central,Hyderabad,Clothing,Saree,2534.59,4.0,10.0,10138.36,1013.84,9124.52,Debit Card,Corporate,No
TXN00104,2024-08-15,S005,Pune Retail Hub,Pune,Stationery,File Folder,76.57,4.0,0.0,306.28,0.0,306.28,Cash,Loyalty Member,No
TXN00105,2024-08-09,S005,Pune Retail Hub,Pune,Clothing,T-Shirt,582.1,1.0,0.0,582.1,0.0,582.1,UPI,Corporate,No
TXN00106,2024-05-13,S004,Mumbai Metro Store,Mumbai,Stationery,Pen Box,100.95,2.0,0.0,201.9,0.0,201.9,Net Banking,Loyalty Member,No
TXN00107,2024-10-30,S004,Mumbai Metro Store,Mumbai,Stationery,Stapler,143.8,7.0,15.0,1006.6,150.99,855.61,Cash,Corporate,No
TXN00108,2024-09-18,S002,Banjara Hills Mart,Hyderabad,Home Appliances,Water Purifier,8880.67,7.0,15.0,62164.69,9324.7,52839.99,Debit Card,Corporate,No
TXN00109,2024-05-02,S002,Banjara Hills Mart,Hyderabad,Stationery,Notebook Set,205.41,8.0,10.0,1643.28,164.33,1478.95,Debit Card,Walk-in,No
TXN00110,2024-08-13,S003,Chennai Express,Chennai,Stationery,Stapler,152.49,7.0,10.0,1067.43,106.74,960.69,UPI,Loyalty Member,No
TXN00111,2024-01-03,S001,Hyderabad Central,Hyderabad,Stationery,Stapler,143.23,7.0,5.0,1002.61,50.13,952.48,UPI,Online,No
TXN00112,2024-12-20,S001,Hyderabad Central,Hyderabad,Stationery,Stapler,152.46,6.0,5.0,914.76,45.74,869.02,Net Banking,Loyalty Member,No
TXN00113,2024-01-05,S005,Pune Retail Hub,Pune,Electronics,Mobile Phone,10360.98,4.0,5.0,41443.92,2072.2,39371.72,Debit Card,Loyalty Member,Yes
TXN00114,2024-09-25,S005,Pune Retail Hub,Pune,Home Appliances,Microwave,6480.15,8.0,10.0,51841.2,5184.12,46657.08,Net Banking,Corporate,No
TXN00115,2024-11-10,S004,Mumbai Metro Store,Mumbai,Stationery,File Folder,77.99,4.0,15.0,311.96,46.79,265.17,Cash,Walk-in,No
TXN00116,2024-01-24,S002,Banjara Hills Mart,Hyderabad,Stationery,Calculator,385.67,8.0,10.0,3085.36,308.54,2776.82,UPI,Online,No
TXN00117,2024-03-03,S003,Chennai Express,Chennai,Home Appliances,Mixer Grinder,2853.92,7.0,0.0,19977.44,0.0,19977.44,Debit Card,Online,No
TXN00118,2024-06-14,S003,Chennai Express,Chennai,Grocery,Pulses,150.5,6.0,5.0,903.0,45.15,857.85,Debit Card,Loyalty Member,No
TXN00119,2024-06-06,S003,Chennai Express,Chennai,Home Appliances,Mixer Grinder,2826.09,6.0,0.0,16956.54,0.0,16956.54,Credit Card,Online,No
TXN00120,2024-06-09,S001,Hyderabad Central,Hyderabad,Grocery,Spices Pack,95.58,2.0,20.0,191.16,38.23,152.93,UPI,Corporate,No
TXN00121,2024-08-30,S001,Hyderabad Central,Hyderabad,Grocery,Spices Pack,96.18,2.0,15.0,192.36,28.85,163.51,Cash,Corporate,No
TXN00122,2024-07-10,S002,Banjara Hills Mart,Hyderabad,Home Appliances,Water Purifier,8882.31,8.0,15.0,71058.48,10658.77,60399.71,UPI,Corporate,No
TXN00123,2024-12-21,S003,Chennai Express,Chennai,Stationery,Pen Box,96.7,8.0,0.0,773.6,0.0,773.6,Cash,Online,No
TXN00124,2024-07-04,S001,Hyderabad Central,Hyderabad,Electronics,Earphones,1491.3,1.0,15.0,1491.3,223.69,1267.61,Credit Card,Walk-in,No
TXN00125,2024-03-10,S003,Chennai Express,Chennai,Grocery,Spices Pack,99.06,5.0,0.0,495.3,0.0,495.3,UPI,Loyalty Member,No
TXN00126,2024-10-25,S001,Hyderabad Central,Hyderabad,Electronics,Earphones,1485.82,8.0,5.0,11886.56,594.33,11292.23,Debit Card,Online,No
TXN00127,2024-07-06,S001,Hyderabad Central,Hyderabad,Stationery,File Folder,82.53,8.0,0.0,660.24,0.0,660.24,Credit Card,Loyalty Member,No
TXN00128,2024-02-25,S005,Pune Retail Hub,Pune,Grocery,Rice (5kg),344.5,3.0,15.0,1033.5,155.03,878.47,Net Banking,Loyalty Member,No
TXN00129,2024-01-12,S001,Hyderabad Central,Hyderabad,Electronics,Laptop,44609.52,4.0,0.0,178438.08,0.0,178438.08,Credit Card,Corporate,No
TXN00130,2024-11-02,S004,Mumbai Metro Store,Mumbai,Grocery,Pulses,152.24,1.0,5.0,152.24,7.61,144.63,Credit Card,Online,No
TXN00131,2024-02-22,S001,Hyderabad Central,Hyderabad,Stationery,Calculator,385.45,7.0,0.0,2698.15,0.0,2698.15,Net Banking,Corporate,No
TXN00132,2024-11-01,S002,Banjara Hills Mart,Hyderabad,Clothing,Jeans,1348.27,5.0,10.0,6741.35,674.13,6067.22,Cash,Corporate,No
TXN00133,2024-02-07,S003,Chennai Express,Chennai,Stationery,Calculator,386.81,8.0,10.0,3094.48,309.45,2785.03,Credit Card,Corporate,Yes
TXN00134,2024-06-20,S003,Chennai Express,Chennai,Stationery,Stapler,147.32,7.0,0.0,1031.24,0.0,1031.24,Debit Card,Walk-in,No
TXN00135,2024-05-24,S001,Hyderabad Central,Hyderabad,Home Appliances,Water Purifier,8972.44,3.0,0.0,26917.32,0.0,26917.32,Credit Card,Corporate,No
TXN00136,2024-01-29,S004,Mumbai Metro Store,Mumbai,Electronics,Tablet,18532.93,8.0,0.0,148263.44,0.0,148263.44,UPI,Corporate,No
TXN00137,2024-03-10,S005,Pune Retail Hub,Pune,Home Appliances,Iron Box,926.01,5.0,0.0,4630.05,0.0,4630.05,UPI,Online,No
TXN00138,2024-06-08,S004,Mumbai Metro Store,Mumbai,Electronics,Mobile Phone,9912.3,6.0,20.0,59473.8,11894.76,47579.04,Credit Card,Loyalty Member,No
TXN00139,2024-07-12,S003,Chennai Express,Chennai,Electronics,Earphones,1465.11,7.0,10.0,10255.77,1025.58,9230.19,Debit Card,Loyalty Member,No
TXN00140,2024-12-20,S001,Hyderabad Central,Hyderabad,Grocery,Flour (10kg),301.51,1.0,20.0,301.51,60.3,241.21,UPI,Online,No
TXN00141,2024-05-26,S001,Hyderabad Central,Hyderabad,Clothing,Jacket,1969.03,2.0,0.0,3938.06,0.0,3938.06,Debit Card,Online,No
TXN00142,,S004,Mumbai Metro Store,Mumbai,Home Appliances,Microwave,6686.82,3.0,101.0,,,,UPI,Walk-in,No
TXN00143,2024-12-30,S001,Hyderabad Central,Hyderabad,Home Appliances,Microwave,6254.36,3.0,5.0,18763.08,938.15,17824.93,Net Banking,Walk-in,No
TXN00144,2024-01-04,S005,Pune Retail Hub,Pune,Grocery,Pulses,148.39,8.0,10.0,1187.12,118.71,1068.41,UPI,Loyalty Member,No
TXN00145,2024-08-05,S003,Chennai Express,Chennai,Home Appliances,Mixer Grinder,2801.23,1.0,20.0,2801.23,560.25,2240.98,Debit Card,Loyalty Member,No
TXN00146,2024-01-21,S001,Hyderabad Central,Hyderabad,Stationery,Stapler,148.94,7.0,10.0,1042.58,104.26,938.32,Debit Card,Online,No
TXN00147,2024-08-28,S003,Chennai Express,Chennai,Home Appliances,Microwave,6574.19,8.0,20.0,52593.52,10518.7,42074.82,Cash,Loyalty Member,No
TXN00148,2024-07-17,S003,Chennai Express,Chennai,Grocery,Pulses,147.37,5.0,20.0,736.85,147.37,589.48,Net Banking,Walk-in,Yes
TXN00149,2024-09-06,S001,Hyderabad Central,Hyderabad,Stationery,Pen Box,94.46,7.0,20.0,661.22,132.24,528.98,Net Banking,Walk-in,No
TXN00150,2024-01-19,S001,Hyderabad Central,Hyderabad,Electronics,Laptop,45327.88,3.0,5.0,135983.64,6799.18,129184.46,Cash,Online,No
TXN00151,2024-01-28,S002,Banjara Hills Mart,Hyderabad,Stationery,Calculator,404.71,6.0,15.0,2428.26,364.24,2064.02,Debit Card,Corporate,No
TXN00152,2024-07-08,S002,Banjara Hills Mart,Hyderabad,Home Appliances,Iron Box,930.87,4.0,0.0,3723.48,0.0,3723.48,Cash,Loyalty Member,Yes
TXN00153,2024-12-06,S002,Banjara Hills Mart,Hyderabad,Grocery,Spices Pack,95.32,1.0,5.0,95.32,4.77,90.55,Cash,Corporate,No
TXN00154,2024-09-19,S003,Chennai Express,Chennai,Home Appliances,Fan,1676.17,5.0,5.0,8380.85,419.04,7961.81,Debit Card,Loyalty Member,No
TXN00155,2024-11-28,S005,Pune Retail Hub,Pune,Stationery,File Folder,81.57,6.0,0.0,489.42,0.0,489.42,Net Banking,Corporate,No
TXN00156,2024-06-23,S005,Pune Retail Hub,Pune,Stationery,File Folder,80.44,8.0,10.0,643.52,64.35,579.17,Credit Card,Walk-in,No
TXN00157,2024-12-28,S005,Pune Retail Hub,Pune,Electronics,Tablet,18539.68,7.0,5.0,129777.76,6488.89,123288.87,Net Banking,Online,No
TXN00158,2024-06-29,S002,Banjara Hills Mart,Hyderabad,Clothing,Jeans,1329.01,1.0,10.0,1329.01,132.9,1196.11,Debit Card,Online,No
TXN00159,2024-05-28,S003,Chennai Express,Chennai,Home Appliances,Iron Box,878.7,1.0,5.0,878.7,43.94,834.76,Debit Card,Online,No
TXN00160,2024-05-06,S003,Chennai Express,Chennai,Home Appliances,Fan,1620.05,8.0,20.0,12960.4,2592.08,10368.32,Net Banking,Walk-in,No
TXN00161,2024-01-06,S002,Banjara Hills Mart,Hyderabad,Clothing,T-Shirt,590.67,4.0,5.0,2362.68,118.13,2244.55,Cash,Online,No
TXN00162,2024-12-04,S002,Banjara Hills Mart,Hyderabad,Grocery,Rice (5kg),345.07,3.0,10.0,1035.21,103.52,931.69,UPI,Loyalty Member,No
TXN00163,2024-11-20,S004,Mumbai Metro Store,Mumbai,Clothing,Formal Shirt,875.1,6.0,20.0,5250.6,1050.12,4200.48,Debit Card,Corporate,No
TXN00164,2024-10-17,S002,Banjara Hills Mart,Hyderabad,Grocery,Cooking Oil,185.73,1.0,15.0,185.73,27.86,157.87,Debit Card,Online,No
TXN00165,2024-04-06,S001,Hyderabad Central,Hyderabad,Clothing,Jeans,1279.29,1.0,15.0,1279.29,191.89,1087.4,Debit Card,Online,No
TXN00166,2024-08-07,S003,Chennai Express,Chennai,Home Appliances,Water Purifier,9429.6,7.0,15.0,66007.2,9901.08,56106.12,Debit Card,Online,Yes
TXN00167,2024-08-01,S002,Banjara Hills Mart,Hyderabad,Home Appliances,Iron Box,855.22,1.0,5.0,855.22,42.76,812.46,Debit Card,Loyalty Member,No
TXN00168,2024-04-13,S001,Hyderabad Central,Hyderabad,Stationery,Pen Box,96.47,2.0,15.0,192.94,28.94,164.0,Net Banking,Corporate,No
